frequency,phon_0,phon_10,phon_20,phon_30,phon_40,phon_50,phon_60,phon_70,phon_80,phon_90,phon_100
20.0,76.55,83.065,89.58,94.715,99.85,104.68,109.51,114.25,118.99,123.69999999999999,128.41
25.0,65.62,74.135,82.65,88.295,93.94,99.08500000000001,104.23,109.23,114.23,119.19,124.15
31.5,55.12,65.55,75.98,82.075,88.17,93.625,99.08,104.36500000000001,109.65,114.88,120.11
40.0,45.53,57.575,69.62,76.125,82.63,88.405,94.18,99.76,105.34,110.86,116.38
50.0,37.63,50.825,64.02,70.9,77.78,83.87,89.96,95.84,101.72,107.535,113.35
63.0,30.86,44.705,58.55,65.815,73.08,79.50999999999999,85.94,92.15,98.36,104.505,110.65
80.0,25.02,39.105,53.19,60.835,68.48,75.265,82.05,88.61,95.17,101.66499999999999,108.16
100.0,20.51,34.445,48.38,56.375,64.37,71.51,78.65,85.565,92.48,99.325,106.17
125.0,16.65,30.294999999999998,43.94,52.265,60.59,68.075,75.56,82.825,90.09,97.285,104.48
160.0,13.12,26.244999999999997,39.37,48.035,56.7,64.58500000000001,72.47,80.145,87.82,95.425,103.03
200.0,10.09,22.799999999999997,35.51,44.459999999999994,53.41,61.635,69.86,77.89,85.92,93.88499999999999,101.85
250.0,7.54,19.765,31.99,41.195,50.4,58.965,67.53,75.92,84.31,92.64,100.97
315.0,5.11,16.900000000000002,28.69,38.135,47.58,56.485,65.39,74.14,82.89,91.595,100.3
400.0,3.06,14.365000000000002,25.67,35.325,44.98,54.215,63.45,72.565,81.68,90.755,99.83
500.0,1.48,12.455,23.43,33.239999999999995,43.05,52.55,62.05,71.455,80.86,90.24000000000001,99.62
630.0,0.3,10.89,21.48,31.410000000000004,41.34,51.075,60.81,70.49000000000001,80.17,89.83500000000001,99.5
800.0,-0.3,9.9,20.1,30.080000000000002,40.06,49.975,59.89,69.78,79.67,89.555,99.44
1000.0,-0.01,10.000000000000002,20.01,30.009999999999998,40.01,50.01,60.01,70.01,80.01,90.01,100.01
1250.0,1.03,11.245,21.46,31.64,41.82,51.985,62.15,72.315,82.48,92.64500000000001,102.81
1600.0,-1.19,10.105,21.4,31.955,42.51,52.849999999999994,63.19,73.465,83.74,93.995,104.25
2000.0,-4.11,7.019999999999999,18.15,28.689999999999998,39.23,49.595,59.96,70.275,80.59,90.885,101.18
2500.0,-7.05,4.165,15.38,25.945,36.51,46.885,57.26,67.57,77.88,88.18,98.48
3150.0,-9.03,2.615,14.26,24.935000000000002,35.61,46.015,56.42,66.745,77.07,87.37,97.67
4000.0,-8.49,3.325000000000001,15.14,25.895,36.65,47.11,57.57,67.94,78.31,88.655,99.0
5000.0,-4.48,7.074999999999999,18.63,29.32,40.01,50.45,60.89,71.255,81.62,91.96000000000001,102.3
6300.0,3.28,14.149999999999999,25.02,35.425,45.83,56.095,66.36,76.58500000000001,86.81,97.02000000000001,107.23
8000.0,9.83,20.674999999999997,31.52,41.66,51.8,61.73,71.66,81.535,91.41,101.25999999999999,111.11
10000.0,10.48,22.455,34.43,44.355000000000004,54.28,63.72,73.16,82.44999999999999,91.74,100.985,110.23
12500.0,8.38,20.71,33.04,42.265,51.49,60.06,68.63,77.02,85.41,93.74,102.07
16000.0,14.1,24.384999999999998,34.67,43.315,51.96,60.19500000000001,68.43,76.55000000000001,84.67,92.75,100.83
20000.0,79.65,81.915,84.18,88.475,92.77,98.845,104.92,111.935,118.95,126.34,133.73
